finishing_pos,circuit_id,driver_id,constructor_id,grid_pos,status,fastest_lap_missing,fastest_lap,fastest_lap_avg_speed
1,hungaroring,webber,red_bull,2,Finished,0,1:22.651,190.821
2,hungaroring,alonso,ferrari,3,Finished,0,1:23.195,189.573
3,hungaroring,vettel,red_bull,1,Finished,0,1:22.362,191.491
4,hungaroring,massa,ferrari,4,Finished,0,1:23.329,189.269
5,hungaroring,petrov,renault,7,Finished,0,1:23.799,188.207
6,hungaroring,hulkenberg,williams,10,Finished,0,1:24.204,187.302
7,hungaroring,rosa,sauber,9,Finished,0,1:24.342,186.995
8,hungaroring,button,mclaren,11,Finished,0,1:24.205,187.300
9,hungaroring,kobayashi,sauber,23,Finished,0,1:24.282,187.128
10,hungaroring,barrichello,williams,12,Finished,0,1:22.811,190.452
11,hungaroring,michael_schumacher,mercedes,14,Finished,0,1:25.372,184.739
12,hungaroring,buemi,toro_rosso,15,Finished,0,1:25.449,184.573
13,hungaroring,liuzzi,force_india,16,Finished,0,1:25.358,184.770
14,hungaroring,kovalainen,lotus_racing,19,Finished,0,1:27.457,180.335
15,hungaroring,trulli,lotus_racing,20,Finished,0,1:27.429,180.393
16,hungaroring,glock,virgin,18,Finished,0,1:27.674,179.889
17,hungaroring,bruno_senna,hrt,22,Finished,0,1:28.093,179.033
18,hungaroring,grassi,virgin,21,Finished,0,1:27.287,180.686
19,hungaroring,yamamoto,hrt,24,Finished,0,1:29.278,176.657
20,hungaroring,hamilton,mclaren,5,Gearbox,0,1:26.258,182.842
21,hungaroring,kubica,renault,8,Retired,0,1:26.825,181.648
22,hungaroring,rosberg,mercedes,6,Wheel,0,1:27.954,179.316
23,hungaroring,sutil,force_india,13,Collision,0,1:28.177,178.862
24,hungaroring,alguersuari,toro_rosso,17,Engine,1,300,0
1,ricard,max_verstappen,red_bull,1,Finished,0,1:36.404,218.156
2,ricard,hamilton,mercedes,2,Finished,0,1:37.410,215.903
3,ricard,perez,red_bull,4,Finished,0,1:36.693,217.504
4,ricard,bottas,mercedes,3,Finished,0,1:36.960,216.905
5,ricard,norris,mclaren,8,Finished,0,1:37.425,215.870
6,ricard,ricciardo,mclaren,10,Finished,0,1:38.324,213.896
7,ricard,gasly,alphatauri,6,Finished,0,1:38.103,214.378
8,ricard,alonso,alpine,9,Finished,0,1:37.646,215.382
9,ricard,vettel,aston_martin,12,Finished,0,1:37.138,216.508
10,ricard,stroll,aston_martin,19,Finished,0,1:37.828,214.981
11,ricard,sainz,ferrari,5,Finished,0,1:38.931,212.584
12,ricard,russell,williams,14,Finished,0,1:38.314,213.918
13,ricard,tsunoda,alphatauri,0,Finished,0,1:38.980,212.479
14,ricard,ocon,alpine,11,Finished,0,1:38.645,213.200
15,ricard,giovinazzi,alfa,13,Finished,0,1:38.702,213.077
16,ricard,leclerc,ferrari,7,Finished,0,1:37.681,215.304
17,ricard,raikkonen,alfa,17,Finished,0,1:37.992,214.621
18,ricard,latifi,williams,16,Finished,0,1:38.313,213.920
19,ricard,mick_schumacher,haas,15,Finished,0,1:38.847,212.765
20,ricard,mazepin,haas,18,Finished,0,1:39.317,211.758
1,sepang,alonso,mclaren,2,Finished,0,1:36.861,206.014
2,sepang,hamilton,mclaren,4,Finished,0,1:36.701,206.355
3,sepang,raikkonen,ferrari,3,Finished,0,1:37.228,205.237
4,sepang,heidfeld,bmw_sauber,5,Finished,0,1:37.417,204.838
5,sepang,massa,ferrari,1,Finished,0,1:37.199,205.298
6,sepang,fisichella,renault,12,Finished,0,1:37.879,203.872
7,sepang,trulli,toyota,8,Finished,0,1:38.016,203.587
8,sepang,kovalainen,renault,11,Finished,0,1:37.810,204.015
9,sepang,wurz,williams,19,Finished,0,1:37.864,203.903
10,sepang,webber,red_bull,10,Finished,0,1:38.540,202.504
11,sepang,barrichello,honda,22,Finished,0,1:38.566,202.451
12,sepang,button,honda,15,Finished,0,1:38.658,202.262
13,sepang,sato,super_aguri,14,Finished,0,1:38.496,202.595
14,sepang,speed,toro_rosso,17,Finished,0,1:39.098,201.364
15,sepang,ralf_schumacher,toyota,9,Finished,0,1:39.243,201.070
16,sepang,davidson,super_aguri,18,Finished,0,1:39.566,200.417
17,sepang,liuzzi,toro_rosso,16,Finished,0,1:38.447,202.695
18,sepang,kubica,bmw_sauber,7,Finished,0,1:38.874,201.820
19,sepang,rosberg,williams,6,Hydraulics,0,1:37.704,204.237
20,sepang,coulthard,red_bull,13,Brakes,0,1:38.098,203.416
21,sepang,albers,spyker,20,Engine,0,1:41.495,196.608
22,sepang,sutil,spyker,21,Collision,1,300,0
1,catalunya,max_verstappen,red_bull,4,Finished,0,1:28.816,188.682
2,catalunya,raikkonen,ferrari,5,Finished,0,1:28.538,189.274
3,catalunya,vettel,ferrari,6,Finished,0,1:27.974,190.488
4,catalunya,ricciardo,red_bull,3,Finished,0,1:28.209,189.980
5,catalunya,bottas,williams,7,Finished,0,1:29.081,188.120
6,catalunya,sainz,toro_rosso,8,Finished,0,1:29.663,186.899
7,catalunya,perez,force_india,9,Finished,0,1:29.801,186.612
8,catalunya,massa,williams,18,Finished,0,1:29.238,187.789
9,catalunya,button,mclaren,12,Finished,0,1:30.260,185.663
10,catalunya,kvyat,toro_rosso,13,Finished,0,1:26.948,192.735
11,catalunya,gutierrez,haas,16,Finished,0,1:30.139,185.912
12,catalunya,ericsson,sauber,19,Finished,0,1:29.715,186.791
13,catalunya,jolyon_palmer,renault,17,Finished,0,1:29.779,186.658
14,catalunya,kevin_magnussen,renault,15,Finished,0,1:28.716,188.894
15,catalunya,nasr,sauber,20,Finished,0,1:29.905,186.396
16,catalunya,wehrlein,manor,21,Finished,0,1:31.182,183.786
17,catalunya,haryanto,manor,22,Finished,0,1:29.402,187.445
18,catalunya,grosjean,haas,14,Engine,0,1:28.974,188.347
19,catalunya,alonso,mclaren,10,Engine,0,1:29.750,186.718
20,catalunya,hulkenberg,force_india,11,Engine,0,1:31.810,182.529
21,catalunya,hamilton,mercedes,1,Collision,1,300,0
22,catalunya,rosberg,mercedes,2,Collision,1,300,0
1,suzuka,max_verstappen,red_bull,1,Finished,0,1:44.911,199.266
2,suzuka,perez,red_bull,4,Finished,0,1:46.120,196.995
3,suzuka,leclerc,ferrari,2,Finished,0,1:44.489,200.070
4,suzuka,ocon,alpine,5,Finished,0,1:46.559,196.184
5,suzuka,hamilton,mercedes,6,Finished,0,1:45.530,198.097
6,suzuka,vettel,aston_martin,9,Finished,0,1:46.964,195.441
7,suzuka,alonso,alpine,7,Finished,0,1:44.412,200.218
8,suzuka,russell,mercedes,8,Finished,0,1:47.004,195.368
9,suzuka,latifi,williams,20,Finished,0,1:48.371,192.904
10,suzuka,norris,mclaren,10,Finished,0,1:48.175,193.253
11,suzuka,ricciardo,mclaren,11,Finished,0,1:47.843,193.848
12,suzuka,stroll,aston_martin,19,Finished,0,1:45.205,198.709
13,suzuka,tsunoda,alphatauri,13,Finished,0,1:45.893,197.418
14,suzuka,kevin_magnussen,haas,18,Finished,0,1:48.072,193.437
15,suzuka,bottas,alfa,12,Finished,0,1:47.820,193.889
16,suzuka,zhou,alfa,14,Finished,0,1:44.411,200.220
17,suzuka,mick_schumacher,haas,15,Finished,0,1:45.387,198.366
18,suzuka,gasly,alphatauri,17,Finished,0,1:46.545,196.210
