feature,importance
status_Finished,2.1847610004310285
grid_pos,1.6410692401291478
constructor_ferrari,0.08718545070090751
constructor_red_bull,0.08073427969589013
constructor_mercedes,0.07583274185988671
fastest_lap_avg_speed,0.06808450661892378
fastest_lap,0.056653666496847464
constructor_hrt,0.03438346552546183
constructor_toro_rosso,0.03210289574017335
circuit_indianapolis,0.027600296198873765
constructor_mclaren,0.020003710604711865
constructor_haas,0.019894055778873775
constructor_caterham,0.01866286847821357
constructor_marussia,0.016099573971303904
constructor_virgin,0.015770520950427348
constructor_sauber,0.015516016357413554
circuit_albert_park,0.01421027862818729
constructor_manor,0.01316172557568116
constructor_lotus_racing,0.010169070423122229
constructor_williams,0.008847526375296687
driver_massa,0.00834657095733049
constructor_toyota,0.007702165637795045
driver_maldonado,0.0074878323622284085
driver_hamilton,0.006847989222970696
driver_perez,0.006105149940275156
driver_hulkenberg,0.006002636764791491
driver_kobayashi,0.005738184553192483
constructor_force_india,0.0056959245768933185
driver_max_verstappen,0.005174024417951317
circuit_interlagos,0.004732355451226367
constructor_alpine,0.004522699258220975
driver_raikkonen,0.004261229398733679
driver_bottas,0.003992979476976277
driver_alonso,0.00387565929934115
constructor_alfa,0.0036661359697977235
driver_glock,0.0034794159194701637
status_Disqualified,0.0032987141746824824
status_Withdrew,0.0032233458089721
circuit_baku,0.003164195873295572
driver_gasly,0.003097182481737715
circuit_suzuka,0.0030502322936070136
circuit_villeneuve,0.003022898202158153
circuit_monza,0.00299543557111992
driver_vettel,0.002760142833748258
driver_vandoorne,0.002700795097399977
driver_michael_schumacher,0.0025174433096094794
driver_tsunoda,0.002370383941612708
circuit_catalunya,0.0022003679148472344
circuit_americas,0.002176297516726322
driver_webber,0.002115275460145627
circuit_fuji,0.0018734807237886565
driver_liuzzi,0.001792325506828485
status_Collision,0.0016179976662436424
driver_ricciardo,0.0015212061081489204
driver_coulthard,0.0014868040261604154
driver_heidfeld,0.0014001310985078063
driver_sato,0.0013575573368185712
constructor_bmw_sauber,0.0013409387952394436
circuit_silverstone,0.0012862440849168877
constructor_lotus_f1,0.001268055545637381
driver_mazepin,0.0012593358365592167
driver_kubica,0.0012513240831382166
driver_fisichella,0.0012506036820840282
driver_sargeant,0.001247603981368295
driver_kovalainen,0.0011393166415966326
driver_kevin_magnussen,0.001109420323489374
driver_trulli,0.0011001487743076855
driver_mick_schumacher,0.0010631105798160068
driver_resta,0.0010089788941388456
driver_ralf_schumacher,0.0009793259095188134
driver_sainz,0.0009712747891447382
circuit_imola,0.0009548421443586364
status_Clutch,0.0009266111813280187
circuit_yas_marina,0.0008902774405783909
constructor_super_aguri,0.0008767455818070591
constructor_alphatauri,0.0008186205709243665
circuit_hockenheimring,0.0008165679754145838
driver_jolyon_palmer,0.0008096338341350596
circuit_rodriguez,0.0007968140180789173
driver_klien,0.0007953424360691574
driver_bourdais,0.0007794227412862397
status_Retired,0.000729037632761953
circuit_miami,0.0006850910910348506
driver_button,0.0006771599112727955
status_Suspension,0.0006649125939833134
driver_sutil,0.0006550637759060063
driver_chandhok,0.0006262131952024852
driver_villeneuve,0.000602088023270797
driver_latifi,0.0006005552789766
status_Gearbox,0.0005719257793280974
driver_albon,0.0005501496549121132
circuit_sepang,0.0005096513266765968
driver_montoya,0.0005034244920270048
constructor_honda,0.0004888488930593127
driver_rosberg,0.00046526005481002387
