feature,importance
status_Finished,1.7967194056008418
grid_pos,0.859012529726274
fastest_lap_avg_speed,0.2366287384437178
constructor_red_bull,0.14962019529232412
constructor_ferrari,0.1090724343812687
constructor_mercedes,0.09453857053840334
driver_hamilton,0.05044532106724971
fastest_lap_missing,0.04627287157072679
driver_max_verstappen,0.030393298572192418
driver_alonso,0.029507140992932036
constructor_marussia,0.02891982662041106
circuit_monaco,0.027535550728831248
constructor_caterham,0.024922649950622544
constructor_hrt,0.02483499409957788
driver_vettel,0.02339870996895188
circuit_indianapolis,0.022127085148568516
constructor_lotus_racing,0.01987724207755668
constructor_manor,0.019809912996456312
driver_raikkonen,0.017930223455036077
constructor_mclaren,0.015958897645042346
constructor_lotus_f1,0.015815854703341882
constructor_bmw_sauber,0.013053355467379868
circuit_monza,0.011730955933021158
constructor_sauber,0.010438333793165633
constructor_alfa,0.010369483901016396
constructor_renault,0.009990990260522104
driver_norris,0.008448825695412943
circuit_marina_bay,0.007968529978205564
driver_massa,0.007693265044979025
constructor_brawn,0.007603017697060688
circuit_albert_park,0.007029709825417063
driver_leclerc,0.00661671967111741
driver_klien,0.006534767694918076
driver_jolyon_palmer,0.0061592909269868375
constructor_virgin,0.005862456930869131
status_Disqualified,0.005852265015988856
constructor_force_india,0.005805936032291381
driver_latifi,0.004844669997865791
constructor_haas,0.004531107562550219
driver_bottas,0.004295590588606446
driver_montoya,0.004214390811402557
circuit_mugello,0.004009552174634612
driver_mick_schumacher,0.003853922143767807
constructor_bar,0.003486417386806151
driver_button,0.003285317870389504
driver_sirotkin,0.0030816748592381593
circuit_valencia,0.003013476742796062
driver_maldonado,0.0029039244149309694
driver_sutil,0.002883028533116949
driver_heidfeld,0.0028773387065426535
driver_sainz,0.0027523297658933023
circuit_villeneuve,0.0023707583964561072
driver_perez,0.0023428833563427175
driver_kobayashi,0.002322857126478617
driver_chilton,0.0021763336682265157
driver_kevin_magnussen,0.0020406663895251144
circuit_fuji,0.00183722795990513
constructor_aston_martin,0.001834127235720473
driver_zhou,0.0017888452986609237
driver_chandhok,0.0017532212874589615
driver_karthikeyan,0.0017391345017564674
driver_mazepin,0.0017375623611757707
circuit_suzuka,0.001549218218468873
driver_ocon,0.0015216930887763437
driver_gutierrez,0.001435684815026761
status_Electronics,0.001415816686188487
status_Exhaust,0.0014048900042885836
driver_wurz,0.0013767805228622975
driver_rosberg,0.0013518580192882989
driver_pizzonia,0.0013241282688528423
status_Retired,0.0012729772160283038
status_Power Unit,0.0012567182137908084
driver_coulthard,0.0012506378243111627
driver_speed,0.001222563204371685
driver_petrov,0.0011865858733657308
circuit_spa,0.0011519431967357274
driver_tsunoda,0.0011501681970454759
driver_panis,0.001147514855935805
fastest_lap,0.0011076390433425675
driver_barrichello,0.0010585825816572746
status_Clutch,0.0010581369995369184
driver_doornbos,0.0010306259923101191
circuit_ricard,0.0010291317180531224
status_Fuel pressure,0.0010167566623202173
driver_garde,0.0010167312647867631
driver_hulkenberg,0.0009875300147909715
status_Did not qualify,0.0009842405903743412
driver_ambrosio,0.0009658254770192442
driver_pietro_fittipaldi,0.000956676612631524
status_Puncture,0.000876541631885086
circuit_shanghai,0.0008678454779835309
driver_wehrlein,0.0008598241092462988
status_Steering,0.0007946298154633879
constructor_toyota,0.0007642759592067616
status_Out of fuel,0.0007272204176067998
status_Engine,0.0007202063162930373
circuit_buddh,0.0007088530150421768
status_Brakes,0.0006862874488741344
constructor_spyker_mf1,0.0006564842220623035
driver_davidson,0.0006393740213240573
constructor_honda,0.0006384687180366999
status_Wheel nut,0.0006187156597514676
driver_de_vries,0.0006029440847879819
driver_haryanto,0.0005905851325779032
status_Suspension,0.0005683209925524846
circuit_hockenheimring,0.0005282506044528735
constructor_alpine,0.0005046043711527837
status_Turbo,0.00048715813879192106
constructor_williams,0.0004716766704250475
status_Battery,0.000459382987299195
status_Water pressure,0.0004281490351429884
circuit_silverstone,0.00038573595492863433
driver_matta,0.0003841950779789105
driver_gasly,0.00036785161921919495
circuit_nurburgring,0.00036440239929236284
status_Electrical,0.0003612345251512661
circuit_sepang,0.0003568962098426276
status_Oil leak,0.0003429143070455609
driver_kvyat,0.00032671553729364257
circuit_baku,0.0003261482124179427
driver_kubica,0.00031056708543402144
driver_vandoorne,0.0002948789484477743
driver_nasr,0.00029038034359309963
